CAMERA ID,TOTAL_VIOLATIONS_2023,INTERSECTION,LATITUDE,LONGITUDE
1002.0,2603,WESTERN AND CERMAK,41.85198383957,-87.68578570421
1003.0,1285,WESTERN AND CERMAK,41.8521413068,-87.68575264156
1011.0,2132,PETERSON AND WESTERN,41.99058604242,-87.68982247294
1014.0,2845,PETERSON AND WESTERN,41.99060900981,-87.68973548093
1023.0,849,IRVING PARK AND NARRAGANSETT,41.95302475075,-87.78668323767
1024.0,1232,IRVING PARK AND NARRAGANSETT,41.95302475075,-87.78668323767
1031.0,3317,FOSTER AND NAGLE,41.97568566972,-87.7880204062
1034.0,1331,FOSTER AND NAGLE,41.97576257447,-87.78793429551
1041.0,2254,LAWRENCE AND CICERO,41.96804800729,-87.74787598468
1042.0,2078,LAWRENCE AND CICERO,41.96804800729,-87.74787598468
1051.0,1071,RIDGE AND CLARK,41.98929863013,-87.67010412113
1052.0,549,RIDGE AND CLARK,41.98929863013,-87.67010412113
1072.0,1392,WESTERN AND FOSTER,41.97593337199,-87.68929958918
1074.0,1085,WESTERN AND FOSTER,41.97600018977,-87.68927508385
1091.0,1200,CLARK AND IRVING PARK,41.95443244142,-87.66244625914
1093.0,1641,CLARK AND IRVING PARK,41.95448756688,-87.66229349586
1102.0,1746,PULASKI AND FOSTER,41.97562073966,-87.72838313515
1104.0,1832,PULASKI AND FOSTER,41.97564061623,-87.72833546927
1111.0,1588,FOSTER AND BROADWAY,41.97641214295,-87.66001508205
1113.0,1366,FOSTER AND BROADWAY,41.97643192018,-87.65993180604
1122.0,5781,BROADWAY/SHERIDAN AND DEVON,41.99821792053,-87.66069525557
1123.0,587,BROADWAY/SHERIDAN AND DEVON,41.99829822772,-87.66061166064
1132.0,839,SHERIDAN AND FOSTER,41.97649272078,-87.65513360457
1134.0,936,SHERIDAN AND FOSTER,41.97650511596,-87.65503188225
1142.0,2757,ASHLAND AND LAWRENCE,41.96902342961,-87.66959043354
